,Infinity,Infinity
2007/01/04/morning,172.07948628760505,121.75790188429318
2007/01/05/morning,Infinity,Infinity
2007/01/05/afternoon,101.61059744038022,80.39618238412342
2007/01/09/morning,Infinity,Infinity
2007/01/09/afternoon,133.5735553231858,55.71275610811801
2007/01/10/morning,Infinity,Infinity
2007/01/10/afternoon,72.90513314556812,74.2854900866693
2007/01/11/morning,51.7193312795227,52.91391035054215
2007/01/11/afternoon,33.77935564368666,53.07963375546274
2007/01/12/morning,67.41063541417091,26.67907602347975
2007/01/12/afternoon,77.98545743150729,60.55710543815636
2007/01/15/morning,46.367872379279845,46.49230394531991
2007/01/15/afternoon,69.73025566924161,147.5682962392986
2007/01/16/morning,122.3670907140363,74.21566778877705
2007/01/16/afternoon,118.01445460362262,143.40924427077
2007/01/17/morning,41.559915902855465,64.44242066060687
2007/01/17/afternoon,17708.131086973768,123892.94770552551
2007/01/18/morning,Infinity,Infinity
2007/01/18/afternoon,61.80640913472552,55.76642753692992
2007/01/19/morning,36.04517457798042,67.9717788605196
2007/01/19/afternoon,69.92904246005335,47.24357112638448
2007/01/22/morning,152.66623317187555,125.36141595663031
2007/01/22/afternoon,116.19328523045132,76.7663088185912
2007/01/23/morning,63.83272787641367,72.47017538939156
2007/01/23/afternoon,1021.1206813254992,6889.840239039601
2007/01/24/morning,91.54707377453006,57.14521542467348
2007/01/24/afternoon,101.75340592928006,133.8033189207833
2007/01/25/morning,49.76859355951794,104.25830607955811
2007/01/25/afternoon,55.274800432955715,89.312053291913
2007/01/26/morning,46.403331632795144,53.85440503537611
2007/01/26/afternoon,70.5842750215824,63.27698486187478
2007/01/29/morning,77.3026267287417,42.36171553944914
2007/01/29/afternoon,86.80575577734436,77.19166157441781
2007/01/30/morning,133.43841410315625,62.78427104773219
2007/01/30/afternoon,96.62427896260539,76.91860920198106
2007/01/31/morning,Infinity,Infinity
2007/01/31/afternoon,52.188058100668464,53.301835815275155
2007/02/01/morning,64.68934279758082,27.278092827168294
2007/02/01/afternoon,118.57509721377636,53.82048703949811
2007/02/02/morning,89.87389367911062,49.56837827654286
2007/02/02/afternoon,64.2112808337614,82.96303228323131
2007/02/05/morning,26.466791758886593,67.48372579008878
2007/02/05/afternoon,56.99155978740761,99.97956042497323
2007/02/06/morning,140.98926551565745,124.34395335493845
2007/02/06/afternoon,196.97492312186137,150.13446418178773
2007/02/07/morning,36.48480988024114,76.79917888746775
2007/02/07/afternoon,81.27304024553356,47.571527619846975
2007/02/08/morning,56.23927890096837,77.06605558336008
2007/02/08/afternoon,48.519303410411936,77.4490004760518
2007/02/09/morning,474.4510524625439,3662.420241965498
2007/02/09/afternoon,Infinity,Infinity
2007/02/13/morning,Infinity,Infinity
2007/02/13/afternoon,89.26021122547239,60.21460837796462
2007/02/14/morning,371.2869626339632,2639.2983128720803
2007/02/14/afternoon,288.4288493714523,1211.4278916294172
2007/02/15/morning,41.46162940550359,75.64396164788546
2007/02/15/afternoon,91.10709064187157,74.87616562426226
2007/02/16/morning,42.37708465820381,71.30824683737218
2007/02/16/afternoon,69.46952983654232,127.93511404072956
2007/02/19/morning,3062.8991423839216,36449.148803588694
