,-1085.6939503914625,99.6339008875917
2007/01/04/morning,-1085.6939503914625,99.6339008875917
2007/01/05/morning,Infinity,Infinity
2007/01/05/afternoon,-523.8705464951847,48.84317791784686
2007/01/09/morning,Infinity,Infinity
2007/01/09/afternoon,-286.63033140992957,56.864776731367435
2007/01/10/morning,Infinity,Infinity
2007/01/10/afternoon,70.3105251505336,78.83428607010397
2007/01/11/morning,60.30913295785485,54.62635718358872
2007/01/11/afternoon,31.358777000616314,-138.65057611404106
2007/01/12/morning,-64.1331450586568,22.772267606507967
2007/01/12/afternoon,-515.9348707943353,-323.2799956178854
2007/01/15/morning,-249.59477452179516,25.484962660761767
2007/01/15/afternoon,70.15499687525225,-1079.0216727917157
2007/01/16/morning,-214.72665324244258,39.212361664038326
2007/01/16/afternoon,89.22060778267176,-884.6965377979316
2007/01/17/morning,40.192150568638,-185.43659468437662
2007/01/17/afternoon,13060.641140432941,101902.75746816734
2007/01/18/morning,Infinity,Infinity
2007/01/18/afternoon,-473.7717199867682,57.18628657172603
2007/01/19/morning,31.248471860995778,-138.2212175537237
2007/01/19/afternoon,-289.37102939434385,39.830509896563825
2007/01/22/morning,79.90392651783986,-900.581571740777
2007/01/22/afternoon,-1882.5429768907284,-1107.71180014261
2007/01/23/morning,-740.7322549607122,-425.3219303915493
2007/01/23/afternoon,-118.3478217393806,56.13279899528061
2007/01/24/morning,-596.8579423932416,-1431.5000040326804
2007/01/24/afternoon,-1845.7347074271038,-1154.4237041663796
2007/01/25/morning,41.40907284440573,-204.8566607118662
2007/01/25/afternoon,48.68971690614356,-396.50827043193715
2007/01/26/morning,-602.6489561612118,-292.39680534941704
2007/01/26/afternoon,-577.9947157842324,-532.0030692276115
2007/01/29/morning,-168.3807725541222,34.43288269692766
2007/01/29/afternoon,-535.9836993233903,-890.5039863339708
2007/01/30/morning,-620.9870412488705,-1060.5906575055906
2007/01/30/afternoon,-1008.1579170466348,-587.9238663388021
2007/01/31/morning,Infinity,Infinity
2007/01/31/afternoon,45.48185458046367,53.24583775047144
2007/02/01/morning,-166.3060347200499,15.57750355106873
2007/02/01/afternoon,-309.74833606165606,30.982467713082315
2007/02/02/morning,-410.8383255090191,43.24070645462007
2007/02/02/afternoon,-1059.680691497858,-496.11009295223863
2007/02/05/morning,14.317685576565964,-95.49903113095579
2007/02/05/afternoon,32.58083081300151,-455.23904280238
2007/02/06/morning,-880.0743789726328,-953.9025366359822
2007/02/06/afternoon,-1018.9927551334359,147.1189962678699
2007/02/07/morning,32.087791791945165,-75.09401250213529
2007/02/07/afternoon,-314.8385205845995,46.35719492795761
2007/02/08/morning,-660.6049205163446,-493.9920064572541
2007/02/08/afternoon,38.17442847633023,-377.85014207055553
2007/02/09/morning,56.579472376054355,26.882499720160922
2007/02/09/afternoon,Infinity,Infinity
2007/02/13/morning,Infinity,Infinity
2007/02/13/afternoon,-408.0395267588623,45.57476858425548
