date,E,continuoustime,movfreq_model,movefreq_real
2007/01/04/morning,203.463553,7800,38,63
2007/01/05/morning,Inf,7200,0,161
2007/01/05/afternoon,80.80158079,9600,118,137
2007/01/09/morning,Inf,7200,0,115
2007/01/09/afternoon,133.9374223,9600,71,120
2007/01/10/morning,Inf,7200,0,198
2007/01/10/afternoon,74.57243977,9600,128,143
2007/01/11/morning,57.46774988,7200,125,135
2007/01/11/afternoon,64.67695972,9600,148,243
2007/01/12/morning,86.30972393,7170,83,212
2007/01/12/afternoon,67.80832688,9600,141,154
2007/01/15/morning,63.1140098,7200,114,137
2007/01/15/afternoon,90.48046524,9600,106,111
2007/01/16/morning,169.5596586,7200,42,83
2007/01/16/afternoon,98.89697026,9600,97,87
2007/01/17/morning,71.87138117,7170,99,146
2007/01/17/afternoon,34180.0078,9600,0,181
2007/01/18/morning,Inf,7200,0,156
2007/01/18/afternoon,57.56279679,9600,166,209
2007/01/19/morning,86.58122675,7200,83,136
2007/01/19/afternoon,69.33628121,9600,138,187
2007/01/22/morning,239.3356588,7170,29,94
2007/01/22/afternoon,85.38185614,9600,112,104
2007/01/23/morning,59.6029847,7200,120,108
2007/01/23/afternoon,338.8519725,9600,28,98
2007/01/24/morning,71.41576343,7169,100,109
2007/01/24/afternoon,111.6852625,9600,85,106
2007/01/25/morning,157.4807598,7200,45,128
2007/01/25/afternoon,92.53828582,9600,103,141
2007/01/26/morning,47.02204399,7200,153,177
2007/01/26/afternoon,58.45739995,9600,164,155
2007/01/29/morning,98.20843955,7200,73,140
2007/01/29/afternoon,84.9805093,9600,112,141
2007/01/30/morning,88.05105585,7200,81,143
2007/01/30/afternoon,75.64271298,9600,126,157
2007/01/31/morning,Inf,7200,0,147
2007/01/31/afternoon,49.36385316,9600,194,256
2007/02/01/morning,70.68694146,7200,101,163
2007/02/01/afternoon,151.847475,9600,63,145
2007/02/02/morning,72.27233832,7200,99,129
2007/02/02/afternoon,69.70193679,9600,137,141
2007/02/05/morning,101.385089,7200,71,197
2007/02/05/afternoon,77.90340352,9600,123,170
2007/02/06/morning,117.9794054,7200,61,92
2007/02/06/afternoon,171.1635413,9600,56,79
2007/02/07/morning,154.46467,7200,46,166
2007/02/07/afternoon,85.45768608,9600,112,162
2007/02/08/morning,61.72984885,7170,116,147
2007/02/08/afternoon,66.1575287,9600,145,171
2007/02/09/morning,283.5252272,7200,25,103
2007/02/09/afternoon,Inf,9600,0,209
2007/02/13/morning,Inf,7200,0,149
2007/02/13/afternoon,89.60488847,9600,107,164
2007/02/14/morning,247.0142692,7200,29,138
2007/02/14/afternoon,326.9059684,9600,29,109
2007/02/15/morning,73.48975612,7170,97,146
2007/02/15/afternoon,80.71728679,9600,118,119
2007/02/16/morning,47.9704826,7200,150,122
2007/02/16/afternoon,83.09208913,9600,115,101
2007/02/19/morning,1970.731903,7200,3,111
2007/02/19/afternoon,133.7398697,9600,71,76
2007/02/20/morning,341.5924744,7200,21,139
2007/02/20/afternoon,Inf,9600,0,90
2007/02/21/morning,125.489752,7200,57,107
2007/02/21/afternoon,77.47986074,9600,123,213
2007/02/22/morning,304.8912709,7170,23,114
2007/02/22/afternoon,108.4005139,9600,88,113
2007/02/23/morning,118.8011903,7200,60,89
2007/02/23/afternoon,285.2349153,9600,33,144
2007/02/26/morning,94.93145803,7200,75,100
2007/02/26/afternoon,151.3075898,9600,63,154
2007/02/27/morning,51.19871891,7200,140,118
2007/02/27/afternoon,Inf,9600,0,158
2007/02/28/morning,24.1787884,7020,290,458
2007/02/28/afternoon,46.65335022,9600,205,277
2007/03/01/morning,Inf,7200,0,70
2007/03/01/afternoon,182.7355599,9600,52,112
2007/03/02/morning,Inf,7200,0,114
2007/03/02/afternoon,Inf,9600,0,112
2007/03/05/morning,Inf,7110,0,99
2007/03/05/afternoon,Inf,9600,0,173
2007/03/06/morning,81.96725389,7200,87,161
2007/03/06/afternoon,96.73554822,9600,99,143
2007/03/07/morning,Inf,7170,0,123
2007/03/07/afternoon,456.216117,9600,21,181
2007/03/08/morning,115.9309277,7200,62,188
2007/03/08/afternoon,Inf,9600,0,300
2007/03/09/morning,47.12425678,7200,152,247
2007/03/09/afternoon,71.07223441,9600,135,193
2007/03/12/morning,66.07529789,7170,108,142
2007/03/12/afternoon,82.04995564,9600,117,165
2007/03/13/morning,50.60302108,7200,142,143
2007/03/13/afternoon,46.25710598,9600,207,246
2007/03/14/morning,30.23563519,7050,233,256
2007/03/14/afternoon,39.03206691,9600,245,248
2007/03/15/morning,57.71018972,7140,123,172
2007/03/15/afternoon,49.62378708,9600,193,200
2007/03/16/morning,47.70841668,7200,150,230
2007/03/16/afternoon,34.12262814,9600,281,282
2007/03/19/morning,157.8300938,7200,45,273
2007/03/19/afternoon,109.3082619,9600,87,199
2007/03/20/morning,52.0112166,7170,137,169
2007/03/20/afternoon,71.51840973,9600,134,160
2007/03/22/morning,89.91695829,7110,79,135
2007/03/22/afternoon,100.7948775,9600,95,101
2007/03/23/morning,74.29587702,7200,96,172
2007/03/23/afternoon,81.81419175,9600,117,143
2007/03/26/morning,104.536514,7200,68,115
2007/03/26/afternoon,261.872431,9600,36,121
2007/03/27/morning,Inf,7172,0,134
2007/03/27/afternoon,63.29839429,9600,151,186
2007/03/28/morning,61.8196689,7200,116,111
2007/03/28/afternoon,34.28733579,9600,279,297
2007/03/29/morning,39.26576643,7170,182,168
2007/03/29/afternoon,54.22161582,9570,176,239
2007/03/30/morning,45.00144057,7200,159,163
2007/03/30/afternoon,65.92936353,9600,145,156
2007/04/02/morning,55.23346743,7200,130,117
2007/04/02/afternoon,Inf,9600,0,295
2007/04/03/morning,53.35267633,7170,134,127
2007/04/03/afternoon,109.6497691,9600,87,143
2007/04/04/morning,57.1913319,7140,124,144
2007/04/04/afternoon,81.94317354,9600,117,120
2007/04/05/morning,36.92786399,7200,194,144
2007/04/05/afternoon,107.0813611,9600,89,110
2007/04/06/morning,49.09355834,7200,146,126
2007/04/06/afternoon,296.715352,9600,32,68
2007/04/09/morning,64.87965039,7170,110,128
2007/04/09/afternoon,123.4311433,9600,77,90
2007/04/10/morning,55.4557708,7200,129,89
