"","Averege.Pieces.of.One.Market.Buy.Order","Averege.Pieces.of.One.Market.sell.Order","Averege.Pieces.of.One.limit.Buy.Order","Averege.Pieces.of.One.limit.sell.Order","r^U_B","r^U_A","r^D_B","r^D_A","lambda_B","lambda_A","mu_A","mu_B"
"2007/01/04/morning",14.2684021543986,10.9511217948718,7.92061700526712,7.24264451367255,58.1935483870968,586.870967741935,500.40625,41.8125,0.269871794871795,0.268205128205128,0.310384615384615,0.288717948717949
"2007/01/05/morning",11.9071353620147,10.4903299203641,7.97055111485065,9.4461239473116,34.5652173913044,404.144927536232,390.470588235294,30.7352941176471,0.52625,0.6075,0.563333333333333,0.768472222222222
"2007/01/05/afternoon",10.3290840415486,7.97821187077385,7.62671951503847,7.32023289665211,34.5652173913044,404.144927536232,390.470588235294,30.7352941176471,0.340729166666667,0.314270833333333,0.377708333333333,0.371666666666667
"2007/01/09/morning",9.92694904849601,10.6713554987212,8.63370535714286,8.75293444030919,69.030303030303,486.742424242424,378.962962962963,56.3518518518519,0.537083333333333,0.424583333333333,0.640416666666667,0.451805555555556
"2007/01/09/afternoon",14.0194552529183,11.3342495876855,9.86130568786775,8.69375167605256,69.030303030303,486.742424242424,378.962962962963,56.3518518518519,0.3665625,0.337604166666667,0.436145833333333,0.398958333333333
"2007/01/10/morning",9.96289137997681,11.7558475689882,10.1495566962203,11.3009966777409,40.9864864864865,372.324324324324,372.405797101449,44.2173913043478,0.604166666666667,0.708611111111111,0.618194444444444,0.887777777777778
"2007/01/10/afternoon",10.2124702144559,12.3068659504904,8.90599078341014,9.34731129748397,40.9864864864865,372.324324324324,372.405797101449,44.2173913043478,0.402604166666667,0.3946875,0.450520833333333,0.4609375
"2007/01/11/morning",9.7143996808935,9.15298126064736,8.8999759557586,8.41387313047963,52.2051282051282,372.145299145299,388.944444444444,45.6190476190476,0.514027777777778,0.453055555555556,0.537361111111111,0.600277777777778
"2007/01/11/afternoon",14.9755364806867,12.8205273603629,11.3986740331492,10.7093730341791,52.2051282051282,372.145299145299,388.944444444444,45.6190476190476,0.5371875,0.531979166666667,0.577604166666667,0.703020833333333
"2007/01/12/morning",12.4542493337282,11.6534549280954,11.2241763134461,10.4317096466094,67.5616438356164,421.191780821918,393.345679012346,48.6296296296296,0.703068340306834,0.609205020920502,0.824407252440725,0.744351464435146
"2007/01/12/afternoon",14.9469320066335,13.2409799554566,9.23582313265051,8.7035799522673,67.5616438356164,421.191780821918,393.345679012346,48.6296296296296,0.385104166666667,0.379791666666667,0.451979166666667,0.485520833333333
"2007/01/15/morning",10.1045531197302,10.8070175438596,6.48088912984549,7.00548947849954,25.4642857142857,438.214285714286,424.218181818182,31.6727272727273,0.331944444444444,0.319027777777778,0.444583333333333,0.355972222222222
