,p_UU,p_UD,p_DU,p_DD
2007/01/04/morning,0.06981605519870282,0.9301839448012972,0.9722114408614055,0.02778855913859446
2007/01/05/morning,0.002588291185115388,0.9974117088148846,0.7208832920813293,0.2791167079186707
2007/01/05/afternoon,0.0956614324161873,0.9043385675838127,0.9630672665765894,0.036932733423410635
2007/01/09/morning,0.48762998078690467,0.5123700192130954,0.998566804914458,0.0014331950855419606
2007/01/09/afternoon,0.15116552770911418,0.8488344722908858,0.9746189198329761,0.025381080167024006
2007/01/10/morning,0.002096327459643943,0.9979036725403561,0.655945650762946,0.34405434923705425
2007/01/10/afternoon,0.06628249991991364,0.9337175000800862,0.9283503513622191,0.0716496486377809
2007/01/11/morning,0.061081774115183674,0.9389182258848163,0.9323353247186468,0.06766467528135323
2007/01/11/afternoon,0.019968702886259848,0.9800312971137402,0.8583236335100836,0.14167636648991655
2007/01/12/morning,0.20849275358895492,0.7915072464110451,0.9863596300410611,0.013640369958938914
2007/01/12/afternoon,0.051853244218435846,0.9481467557815642,0.929369701444424,0.07063029855557601
2007/01/15/morning,0.0716741032927719,0.9283258967072281,0.9921853584596285,0.00781464154037148
2007/01/15/afternoon,0.020729923810162365,0.9792700761898377,0.9393742294327763,0.060625770567223736
2007/01/16/morning,0.16449298503884502,0.835507014961155,0.9862211819732722,0.013778818026727757
2007/01/16/afternoon,0.04418406551571197,0.955815934484288,0.9193403552550863,0.08065964474491372
2007/01/17/morning,0.010298582518918131,0.9897014174810818,0.8825742422596569,0.11742575774034325
2007/01/17/afternoon,0.17563056009970568,0.8243694399002944,0.991753734580892,0.008246265419108001
2007/01/18/morning,0.22047581604539235,0.7795241839546075,0.9918777236107642,0.008122276389235905
2007/01/18/afternoon,0.058506067377052995,0.941493932622947,0.9420069011741111,0.05799309882588899
2007/01/19/morning,0.005945483140853192,0.9940545168591468,0.8539679918589562,0.14603200814104378
2007/01/19/afternoon,0.08901034842725108,0.9109896515727489,0.9805585848677999,0.019441415132200213
2007/01/22/morning,0.007571817887542132,0.9924281821124579,0.9435426972866893,0.05645730271331084
2007/01/22/afternoon,0.015937919671076273,0.9840620803289237,0.9760679818414836,0.02393201815851631
2007/01/23/morning,0.02438551699710545,0.9756144830028946,0.9382557534876292,0.06174424651237076
2007/01/23/afternoon,0.157052932886232,0.8429470671137681,0.9913889466826697,0.008611053317330253
2007/01/24/morning,0.04823511105039158,0.9517648889496084,0.9961810220027268,0.003818977997273265
2007/01/24/afternoon,0.010551757475148804,0.9894482425248511,0.9666650330727204,0.03333496692727955
2007/01/25/morning,0.011578790984420051,0.98842120901558,0.8640474783196491,0.135952521680351
2007/01/25/afternoon,0.024808587282960426,0.9751914127170396,0.9112694571282828,0.08873054287171733
2007/01/26/morning,0.021991890128971292,0.9780081098710287,0.9248930140769691,0.07510698592303089
2007/01/26/afternoon,0.041078625561810966,0.958921374438189,0.9551682537860475,0.04483174621395247
2007/01/29/morning,0.12681122144702361,0.8731887785529764,0.9950040348560117,0.004995965143988368
2007/01/29/afternoon,0.05387733625393443,0.9461226637460656,0.9775927252306014,0.022407274769398633
2007/01/30/morning,0.06772554687858667,0.9322744531214134,0.9886076598804842,0.011392340119515953
2007/01/30/afternoon,0.020679916473062887,0.9793200835269371,0.9582773334832146,0.041722666516785356
2007/01/31/morning,0.004370333698132445,0.9956296663018678,0.7641414016120187,0.2358585983879813
2007/01/31/afternoon,0.05109517299368038,0.9489048270063196,0.9303671574629258,0.06963284253707425
2007/02/01/morning,0.10732076884960207,0.8926792311503979,0.9974949346194925,0.002505065380507432
2007/02/01/afternoon,0.10463146743495266,0.8953685325650473,0.9953063539063364,0.004693646093663517
2007/02/02/morning,0.07717098166522174,0.9228290183347783,0.9925230449782124,0.007476955021787468
2007/02/02/afternoon,0.0110359137008329,0.9889640862991671,0.9429489781826018,0.05705102181739807
2007/02/05/morning,0.005670495681007193,0.9943295043189927,0.836098967777201,0.16390103222279895
2007/02/05/afternoon,0.019369980803525255,0.9806300191964747,0.9113485846235554,0.08865141537644461
2007/02/06/morning,0.047213459432176474,0.9527865405678235,0.965376570270574,0.034623429729426114
2007/02/06/afternoon,0.0766558429965567,0.9233441570034432,0.9689588082207177,0.03104119177928233
