,p_UU,p_UD,p_DU,p_DD
2007/01/04/morning,0.233333333333333,0.766666666666667,0.71875,0.28125
2007/01/05/morning,0.246575342465753,0.753424657534247,0.632183908045977,0.367816091954023
2007/01/09/morning,0.402985074626866,0.597014925373134,0.851063829787234,0.148936170212766
2007/01/10/morning,0.232558139534884,0.767441860465116,0.594594594594595,0.405405405405405
2007/01/11/morning,0.411764705882353,0.588235294117647,0.590909090909091,0.409090909090909
2007/01/12/morning,0.357142857142857,0.642857142857143,0.717171717171717,0.282828282828283
2007/01/15/morning,0.309859154929577,0.690140845070423,0.753846153846154,0.246153846153846
2007/01/16/morning,0.363636363636364,0.636363636363636,0.710526315789474,0.289473684210526
2007/01/17/morning,0.324324324324324,0.675675675675676,0.704225352112676,0.295774647887324
2007/01/18/morning,0.3625,0.6375,0.666666666666667,0.333333333333333
2007/01/19/morning,0.229508196721311,0.770491803278688,0.648648648648649,0.351351351351351
2007/01/22/morning,0.195121951219512,0.804878048780488,0.653846153846154,0.346153846153846
2007/01/23/morning,0.291666666666667,0.708333333333333,0.576271186440678,0.423728813559322
2007/01/24/morning,0.285714285714286,0.714285714285714,0.75,0.25
2007/01/25/morning,0.183333333333333,0.816666666666667,0.73134328358209,0.26865671641791
2007/01/26/morning,0.255813953488372,0.744186046511628,0.722222222222222,0.277777777777778
2007/01/29/morning,0.394366197183099,0.605633802816901,0.647058823529412,0.352941176470588
2007/01/30/morning,0.293333333333333,0.706666666666667,0.776119402985075,0.223880597014925
2007/01/31/morning,0.292307692307692,0.707692307692308,0.567901234567901,0.432098765432099
2007/02/01/morning,0.415730337078652,0.584269662921348,0.726027397260274,0.273972602739726
2007/02/02/morning,0.303030303030303,0.696969696969697,0.725806451612903,0.274193548387097
2007/02/05/morning,0.295454545454545,0.704545454545455,0.583333333333333,0.416666666666667
2007/02/06/morning,0.282608695652174,0.717391304347826,0.733333333333333,0.266666666666667
2007/02/07/morning,0.283950617283951,0.716049382716049,0.678571428571429,0.321428571428571
2007/02/08/morning,0.271428571428571,0.728571428571429,0.671052631578947,0.328947368421053
2007/02/09/morning,0.381818181818182,0.618181818181818,0.723404255319149,0.276595744680851
2007/02/13/morning,0.385542168674699,0.614457831325301,0.784615384615385,0.215384615384615
2007/02/14/morning,0.350649350649351,0.649350649350649,0.816666666666667,0.183333333333333
2007/02/15/morning,0.279411764705882,0.720588235294118,0.649350649350649,0.350649350649351
2007/02/16/morning,0.278688524590164,0.721311475409836,0.716666666666667,0.283333333333333
2007/02/19/morning,0.306451612903226,0.693548387096774,0.895833333333333,0.104166666666667
2007/02/20/morning,0.285714285714286,0.714285714285714,0.586666666666667,0.413333333333333
2007/02/21/morning,0.285714285714286,0.714285714285714,0.8,0.2
2007/02/22/morning,0.372881355932203,0.627118644067797,0.685185185185185,0.314814814814815
2007/02/23/morning,0.326086956521739,0.673913043478261,0.738095238095238,0.261904761904762
2007/02/26/morning,0.2,0.8,0.795918367346939,0.204081632653061
2007/02/27/morning,0.280701754385965,0.719298245614035,0.683333333333333,0.316666666666667
2007/02/28/morning,0.38655462184874,0.613445378151261,0.671232876712329,0.328767123287671
2007/03/01/morning,0.605263157894737,0.394736842105263,0.483870967741935,0.516129032258065
2007/03/02/morning,0.65,0.35,0.377358490566038,0.622641509433962
2007/03/05/morning,0.509803921568627,0.490196078431373,0.553191489361702,0.446808510638298
2007/03/06/morning,0.606382978723404,0.393617021276596,0.545454545454545,0.454545454545455
2007/03/07/morning,0.350877192982456,0.649122807017544,0.553846153846154,0.446153846153846
2007/03/08/morning,0.404255319148936,0.595744680851064,0.602150537634409,0.397849462365591
2007/03/09/morning,0.370967741935484,0.629032258064516,0.631147540983607,0.368852459016393
2007/03/12/morning,0.309859154929577,0.690140845070423,0.685714285714286,0.314285714285714
2007/03/13/morning,0.292307692307692,0.707692307692308,0.584415584415584,0.415584415584416
2007/03/14/morning,0.32,0.68,0.661538461538462,0.338461538461538
2007/03/15/morning,0.33695652173913,0.66304347826087,0.759493670886076,0.240506329113924
2007/03/16/morning,0.345132743362832,0.654867256637168,0.637931034482759,0.362068965517241
2007/03/19/morning,0.363636363636364,0.636363636363636,0.705426356589147,0.294573643410853
2007/03/20/morning,0.352272727272727,0.647727272727273,0.7125,0.2875
2007/03/22/morning,0.318181818181818,0.681818181818182,0.647058823529412,0.352941176470588
2007/03/23/morning,0.227848101265823,0.772151898734177,0.652173913043478,0.347826086956522
2007/03/26/morning,0.322033898305085,0.677966101694915,0.727272727272727,0.272727272727273
2007/03/27/morning,0.328767123287671,0.671232876712329,0.8,0.2
2007/03/28/morning,0.327272727272727,0.672727272727273,0.672727272727273,0.327272727272727
2007/03/29/morning,0.329411764705882,0.670588235294118,0.682926829268293,0.317073170731707
2007/03/30/morning,0.304878048780488,0.695121951219512,0.7,0.3
2007/04/02/morning,0.322033898305085,0.677966101694915,0.719298245614035,0.280701754385965
2007/04/03/morning,0.4375,0.5625,0.564516129032258,0.435483870967742
2007/04/04/morning,0.337837837837838,0.662162162162162,0.695652173913043,0.304347826086957
2007/04/05/morning,0.380281690140845,0.619718309859155,0.597222222222222,0.402777777777778
2007/04/06/morning,0.262295081967213,0.737704918032787,0.6875,0.3125
2007/04/09/morning,0.388059701492537,0.611940298507463,0.666666666666667,0.333333333333333
2007/04/10/morning,0.295454545454545,0.704545454545455,0.727272727272727,0.272727272727273
2007/04/11/morning,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333
2007/04/12/morning,0.214285714285714,0.785714285714286,0.604395604395604,0.395604395604396
2007/04/13/morning,0.25,0.75,0.69811320754717,0.30188679245283
2007/04/16/morning,0.370967741935484,0.629032258064516,0.76,0.24
2007/04/17/morning,0.243243243243243,0.756756756756757,0.717948717948718,0.282051282051282
2007/04/18/morning,0.390243902439024,0.609756097560976,0.708333333333333,0.291666666666667
2007/04/19/morning,0.238461538461538,0.761538461538461,0.668918918918919,0.331081081081081
2007/04/20/morning,0.348837209302326,0.651162790697674,0.658823529411765,0.341176470588235
2007/04/23/morning,0.233333333333333,0.766666666666667,0.758064516129032,0.241935483870968
2007/04/24/morning,0.300970873786408,0.699029126213592,0.669811320754717,0.330188679245283
2007/04/25/morning,0.325301204819277,0.674698795180723,0.64367816091954,0.35632183908046
2007/04/26/morning,0.257142857142857,0.742857142857143,0.764705882352941,0.235294117647059
2007/04/27/morning,0.356521739130435,0.643478260869565,0.651785714285714,0.348214285714286
2007/05/01/morning,0.266129032258065,0.733870967741935,0.640845070422535,0.359154929577465
2007/05/02/morning,0.188679245283019,0.811320754716981,0.771929824561403,0.228070175438596
2007/05/07/morning,0.333333333333333,0.666666666666667,0.785714285714286,0.214285714285714
2007/05/08/morning,0.244897959183673,0.755102040816326,0.765957446808511,0.234042553191489
2007/05/09/morning,0.235294117647059,0.764705882352941,0.787878787878788,0.212121212121212
2007/05/10/morning,0.357142857142857,0.642857142857143,0.571428571428571,0.428571428571429
2007/05/11/morning,0.225490196078431,0.774509803921569,0.73394495412844,0.26605504587156
2007/05/14/morning,0.297297297297297,0.702702702702703,0.710526315789474,0.289473684210526
2007/05/15/morning,0.202898550724638,0.797101449275362,0.782608695652174,0.217391304347826
2007/05/16/morning,0.25,0.75,0.737704918032787,0.262295081967213
2007/05/17/morning,0.25,0.75,0.724137931034483,0.275862068965517
2007/05/18/morning,0.295081967213115,0.704918032786885,0.671875,0.328125
2007/05/21/morning,0.333333333333333,0.666666666666667,0.64,0.36
2007/05/22/morning,0.333333333333333,0.666666666666667,0.814285714285714,0.185714285714286
2007/05/23/morning,0.256756756756757,0.743243243243243,0.72972972972973,0.27027027027027
2007/05/24/morning,0.42,0.58,0.58,0.42
2007/05/25/morning,0.260416666666667,0.739583333333333,0.679611650485437,0.320388349514563
2007/05/28/morning,0.365079365079365,0.634920634920635,0.639344262295082,0.360655737704918
2007/05/29/morning,0.380281690140845,0.619718309859155,0.728813559322034,0.271186440677966
2007/05/30/morning,0.390243902439024,0.609756097560976,0.671232876712329,0.328767123287671
2007/05/31/morning,0.354166666666667,0.645833333333333,0.696629213483146,0.303370786516854
2007/06/01/morning,0.428571428571429,0.571428571428571,0.457142857142857,0.542857142857143
2007/06/04/morning,0.227272727272727,0.772727272727273,0.485714285714286,0.514285714285714
2007/06/05/morning,0.46551724137931,0.53448275862069,0.492063492063492,0.507936507936508
